Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,90.3,-105.35,0.003,138.754,0.844616,0.462407,0.657366,-0.000589424,0.657366,1,-2.15737e-07
1,0.224997,90.3,-105.35,0.227997,138.754,0.147419,0.46607,3.78435,-0.00352892,3.78435,1,0.000232796
2,0.449994,90.3,-105.35,0.452994,138.755,0.130744,0.467522,4.27258,-0.00406051,4.27258,1,0.000526048
3,0.674991,90.3,-105.35,0.677991,138.756,0.122502,0.468838,4.56381,-0.00439293,4.56381,1,0.000836224
4,0.899988,90.3,-105.35,0.902988,138.757,0.117549,0.469933,4.76212,-0.00462261,4.76212,1,0.00114902
5,1.12498,90.3,-105.35,1.12799,138.759,0.114196,0.471179,4.90974,-0.00479066,4.90975,1,0.00145189
6,1.34998,90.3,-105.35,1.35298,138.761,0.111565,0.472707,5.03315,-0.00492696,5.03315,1,0.00174138
7,1.57498,90.3,-105.35,1.57798,138.763,0.109502,0.474497,5.13739,-0.00503801,5.1374,1,0.00201983
8,1.79998,90.3,-105.35,1.80298,138.766,0.107955,0.47672,5.22305,-0.00512217,5.22305,1,0.00227751
9,2.02497,90.3,-105.35,2.02797,138.769,0.106725,0.479238,5.29745,-0.00519016,5.29745,1,0.00252241
10,2.24997,90.3,-105.35,2.25297,138.772,0.105536,0.481794,5.37019,-0.00525562,5.37019,1,0.00276502
11,2.47497,90.3,-105.35,2.47797,138.776,0.104857,0.484842,5.42275,-0.00529033,5.42276,1,0.00297807
12,2.69996,90.3,-105.35,2.70296,138.78,0.104182,0.487925,5.47531,-0.00532493,5.47532,1,0.00318963
13,2.92496,90.3,-105.35,2.92796,138.785,0.103506,0.491007,5.52788,-0.00535954,5.52788,1,0.00340119
14,3.14996,90.3,-105.35,3.15296,138.79,0.103047,0.494127,5.57004,-0.00537832,5.57004,1,0.00363354
15,3.37495,90.3,-105.35,3.37795,138.795,0.102704,0.497326,5.60689,-0.0053886,5.60689,1,0.00387225
16,3.59995,90.3,-105.35,3.60295,138.801,0.102362,0.500532,5.64375,-0.00539884,5.64375,1,0.00411046
17,3.82495,90.3,-105.35,3.82795,138.807,0.10202,0.503738,5.6806,-0.00540908,5.6806,1,0.00434867
18,4.04995,90.3,-105.35,4.05295,138.813,0.101692,0.506914,5.71654,-0.00541802,5.71655,1,0.00458864
19,4.27494,90.3,-105.35,4.27794,138.82,0.101528,0.509745,5.74188,-0.00541184,5.74189,1,0.00484886
20,4.49994,90.3,-105.35,4.50294,138.827,0.101366,0.512623,5.7673,-0.0054052,5.76731,1,0.00510601
21,4.72494,90.3,-105.35,4.72794,138.835,0.101205,0.515502,5.79273,-0.00539856,5.79273,1,0.00536315
22,4.94993,90.3,-105.35,4.95293,138.843,0.101043,0.51838,5.81815,-0.00539192,5.81815,1,0.0056203
23,5.17493,90.3,-105.35,5.17793,138.851,0.100881,0.521258,5.84357,-0.00538528,5.84358,1,0.00587744
24,5.39993,90.3,-105.35,5.40293,138.859,0.100719,0.524137,5.86899,-0.00537864,5.869,1,0.00613459
25,5.62493,90.3,-105.35,5.62792,138.868,0.100662,0.526575,5.88593,-0.00536313,5.88594,1,0.0066799
26,5.84992,90.3,-105.35,5.85292,138.878,0.100613,0.528998,5.90235,-0.00534676,5.90235,1,0.00724444
27,6.07492,90.3,-105.35,6.07792,138.887,0.100563,0.531434,5.91881,-0.0053302,5.91882,1,0.0078086
28,6.29992,90.3,-105.35,6.30292,138.897,0.100513,0.533869,5.93527,-0.00531364,5.93528,1,0.00837275
29,6.52491,90.3,-105.35,6.52791,138.908,0.100464,0.536305,5.95173,-0.00529707,5.95174,1,0.00893691
30,6.74991,90.3,-105.35,6.75291,138.918,0.100414,0.53874,5.96819,-0.00528051,5.9682,1,0.00950106
31,6.97491,90.3,-105.35,6.97791,138.929,0.100364,0.541176,5.98466,-0.00526395,5.98467,1,0.0100652
32,7.1999,90.3,-105.35,7.2029,138.941,0.100315,0.543611,6.00112,-0.00524739,6.00113,1,0.0106294
33,7.4249,90.3,-105.35,7.4279,138.953,0.100374,0.546234,6.01187,-0.00522615,6.01188,1,0.0111364
34,7.6499,90.3,-105.35,7.6529,138.965,0.10048,0.548938,6.02014,-0.00520288,6.02016,1,0.0116187
35,7.8749,90.3,-105.35,7.87789,138.978,0.100585,0.551642,6.0285,-0.00517907,6.02851,1,0.0121047
36,8.09989,90.3,-105.35,8.10289,138.991,0.100689,0.554346,6.03687,-0.00515518,6.03688,1,0.0125913
