Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,270.9,105.35,0.003,290.664,0.847872,1.104,1.01183,6.34615e-05,1.01183,1,-1.59729e-06
1,0.224997,270.9,105.35,0.227997,290.664,0.146656,1.09816,5.83951,0.000844486,5.83951,1,0.00136251
2,0.449994,270.9,105.35,0.452994,290.664,0.128285,1.07679,6.6091,0.0012703,6.6091,1,0.00308069
3,0.674991,270.9,105.35,0.677991,290.665,0.118461,1.0526,7.07161,0.00162209,7.07161,1,0.00487323
4,0.899988,270.9,105.35,0.902988,290.665,0.112125,1.02857,7.38634,0.00191223,7.38634,1,0.00664325
5,1.12498,270.9,105.35,1.12799,290.666,0.107604,1.00715,7.61884,0.00215161,7.61884,1,0.00833186
6,1.34998,270.9,105.35,1.35298,290.667,0.103954,0.988329,7.81142,0.00236028,7.81142,1,0.00994304
7,1.57498,270.9,105.35,1.57798,290.668,0.100995,0.971851,7.9724,0.00254219,7.9724,1,0.0114819
8,1.79998,270.9,105.35,1.80298,290.669,0.0987,0.958774,8.10252,0.00269149,8.10253,1,0.012916
9,2.02497,270.9,105.35,2.02797,290.671,0.0968055,0.947754,8.21403,0.0028206,8.21404,1,0.0142858
10,2.24997,270.9,105.35,2.25297,290.673,0.0949806,0.937245,8.32255,0.0029462,8.32256,1,0.0156365
11,2.47497,270.9,105.35,2.47797,290.674,0.0938388,0.931044,8.39781,0.00302889,8.39782,1,0.0168284
12,2.69996,270.9,105.35,2.70296,290.676,0.0926986,0.924865,8.47304,0.0031115,8.47306,1,0.0180191
13,2.92496,270.9,105.35,2.92796,290.679,0.0915683,0.918823,8.5481,0.00319359,8.54812,1,0.0192026
14,3.14996,270.9,105.35,3.15296,290.681,0.0907658,0.915086,8.60607,0.00325107,8.60609,1,0.0203619
15,3.37495,270.9,105.35,3.37795,290.683,0.0901321,0.912536,8.65523,0.00329588,8.65526,1,0.0215088
16,3.59995,270.9,105.35,3.60295,290.686,0.0894987,0.909991,8.70438,0.00334071,8.70441,1,0.0226551
17,3.82495,270.9,105.35,3.82795,290.689,0.0888712,0.907539,8.75346,0.00338576,8.75349,1,0.0237934
18,4.04995,270.9,105.35,4.05295,290.692,0.0882713,0.905312,8.80104,0.00342847,8.80108,1,0.0249215
19,4.27494,270.9,105.35,4.27794,290.695,0.0879932,0.905716,8.8313,0.00344389,8.83134,1,0.0259319
20,4.49994,270.9,105.35,4.50294,290.699,0.087715,0.90612,8.86157,0.00345932,8.86161,1,0.0269423
21,4.72494,270.9,105.35,4.72794,290.702,0.0874369,0.906523,8.89183,0.00347474,8.89187,1,0.0279527
22,4.94993,270.9,105.35,4.95293,290.706,0.0871597,0.906945,8.92208,0.00348973,8.92213,1,0.0289623
23,5.17493,270.9,105.35,5.17793,290.71,0.0868831,0.90738,8.95233,0.00350444,8.95238,1,0.0299713
24,5.39993,270.9,105.35,5.40293,290.714,0.0866066,0.907814,8.98258,0.00351915,8.98264,1,0.0309803
25,5.62493,270.9,105.35,5.62792,290.718,0.0866091,0.911276,8.99925,0.00351403,8.9993,1,0.032314
26,5.84992,270.9,105.35,5.85292,290.723,0.0866308,0.914945,9.01498,0.00350755,9.01504,1,0.03367
27,6.07492,270.9,105.35,6.07792,290.727,0.0866525,0.918613,9.03071,0.00350107,9.03078,1,0.0350259
