Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,361.2,0,0.003,361.2,nan,nan,nan,nan,nan,0,nan
1,0.224997,361.2,0,0.227997,361.2,0.142144,0.654669,4.65172,0.000929808,4.65172,1,0.000767583
2,0.449994,361.2,0,0.452994,361.2,0.124959,0.646379,5.25676,0.000932934,5.25676,1,0.00175541
3,0.674991,361.2,0,0.677991,361.201,0.115756,0.635456,5.62293,0.000881771,5.62293,1,0.00282129
4,0.899988,361.2,0,0.902988,361.201,0.109669,0.622687,5.87579,0.000811755,5.87579,1,0.00392553
5,1.12498,361.2,0,1.12799,361.202,0.10513,0.609377,6.06603,0.000738416,6.06603,1,0.00503752
6,1.34998,361.2,0,1.35298,361.203,0.101327,0.596384,6.22571,0.000666909,6.22571,1,0.00614051
7,1.57498,361.2,0,1.57798,361.203,0.098108,0.583788,6.36109,0.000599093,6.36109,1,0.00722534
8,1.79998,361.2,0,1.80298,361.204,0.0954937,0.572526,6.47195,0.000539432,6.47195,1,0.0082853
9,2.02497,361.2,0,2.02797,361.206,0.0932456,0.562107,6.56798,0.000486113,6.56799,1,0.00932186
10,2.24997,361.2,0,2.25297,361.207,0.0910603,0.551931,6.66165,0.000433459,6.66166,1,0.0103549
11,2.47497,361.2,0,2.47797,361.209,0.0895973,0.54461,6.72743,0.000400458,6.72744,1,0.011263
12,2.69996,361.2,0,2.70296,361.21,0.0881343,0.53729,6.79321,0.000367458,6.79322,1,0.0121711
13,2.92496,361.2,0,2.92796,361.212,0.0866749,0.529994,6.85893,0.000334201,6.85894,1,0.0130826
14,3.14996,361.2,0,3.15296,361.214,0.0856166,0.524814,6.90969,0.000315312,6.90971,1,0.0139862
15,3.37495,361.2,0,3.37795,361.216,0.0847625,0.520707,6.9528,0.000303983,6.95281,1,0.0148837
16,3.59995,361.2,0,3.60295,361.218,0.0839084,0.5166,6.9959,0.000292654,6.99592,1,0.0157811
17,3.82495,361.2,0,3.82795,361.22,0.0830553,0.512501,7.03899,0.000281336,7.03901,1,0.0166793
18,4.04995,361.2,0,4.05295,361.223,0.0822432,0.508672,7.08069,0.000271719,7.08071,1,0.0175662
19,4.27494,361.2,0,4.27794,361.225,0.0818443,0.507434,7.10714,0.000281181,7.10717,1,0.0182744
20,4.49994,361.2,0,4.50294,361.228,0.0814454,0.506196,7.1336,0.000290643,7.13363,1,0.0189826
21,4.72494,361.2,0,4.72794,361.231,0.0810465,0.504958,7.16006,0.000300105,7.16009,1,0.0196909
22,4.94993,361.2,0,4.95293,361.234,0.0806476,0.50372,7.18652,0.000309567,7.18655,1,0.0203991
23,5.17493,361.2,0,5.17793,361.237,0.08025,0.502495,7.21296,0.000319181,7.21299,1,0.0211096
24,5.39993,361.2,0,5.40293,361.24,0.0798545,0.501292,7.23937,0.000329052,7.2394,1,0.0218242
25,5.62493,361.2,0,5.62792,361.244,0.0797955,0.502596,7.25408,0.000353404,7.25412,1,0.0227779
26,5.84992,361.2,0,5.85292,361.247,0.0797596,0.504072,7.268,0.000378747,7.26804,1,0.023748
27,6.07492,361.2,0,6.07792,361.251,0.0797237,0.505548,7.28191,0.00040409,7.28195,1,0.0247181
28,6.29992,361.2,0,6.30292,361.255,0.0796877,0.507024,7.29582,0.000429433,7.29587,1,0.0256882
29,6.52491,361.2,0,6.52791,361.259,0.0796518,0.5085,7.30973,0.000454776,7.30978,1,0.0266584
30,6.74991,361.2,0,6.75291,361.263,0.0796159,0.509977,7.32364,0.000480119,7.32369,1,0.0276285
31,6.97491,361.2,0,6.97791,361.267,0.0795805,0.511462,7.33755,0.000505751,7.33761,1,0.0286021
32,7.1999,361.2,0,7.2029,361.272,0.0795455,0.512952,7.35146,0.00053156,7.35152,1,0.029578
33,7.4249,361.2,0,7.4279,361.276,0.0797844,0.517026,7.35776,0.000570462,7.35783,1,0.030368
34,7.6499,361.2,0,7.6529,361.281,0.0801423,0.522222,7.36077,0.000615044,7.36083,1,0.0310775
35,7.8749,361.2,0,7.87789,361.286,0.0805001,0.527417,7.36377,0.000659626,7.36384,1,0.031787
36,8.09989,361.2,0,8.10289,361.291,0.0808579,0.532613,7.36677,0.000704207,7.36685,1,0.0324964
37,8.32489,361.2,0,8.32789,361.296,0.0812157,0.537808,7.36978,0.000748789,7.36985,1,0.0332059
38,8.54989,361.2,0,8.55289,361.301,0.0815735,0.543004,7.37278,0.000793371,7.37286,1,0.0339154
39,8.77488,361.2,0,8.77788,361.307,0.0819314,0.548199,7.37578,0.000837952,7.37587,1,0.0346249
40,8.99988,361.2,0,9.00288,361.312,0.0822892,0.553394,7.37879,0.000882534,7.37887,1,0.0353343
41,9.22488,361.2,0,9.22788,361.318,0.0826468,0.558589,7.38179,0.000927278,7.38188,1,0.0360459
42,9.44987,361.2,0,9.45287,361.324,0.0830035,0.563782,7.38481,0.000972576,7.38491,1,0.0367645
43,9.67487,361.2,0,9.67787,361.33,0.0833602,0.568976,7.38783,0.00101787,7.38793,1,0.0374832
44,9.89987,361.2,0,9.90287,361.336,0.0841409,0.579146,7.38223,0.00106539,7.38233,1,0.038652
45,10.1249,361.2,0,10.1279,361.342,0.0851506,0.592004,7.37197,0.00111412,7.37208,1,0.0400639
46,10.3499,361.2,0,10.3529,361.348,0.0861603,0.604863,7.3617,0.00116284,7.36183,1,0.0414758
47,10.5749,361.2,0,10.5779,361.355,0.08717,0.617721,7.35144,0.00121156,7.35157,1,0.0428877
48,10.7999,361.2,0,10.8029,361.362,0.0881797,0.630579,7.34118,0.00126028,7.34132,1,0.0442996
49,11.0249,361.2,0,11.0279,361.368,0.0891894,0.643437,7.33091,0.001309,7.33107,1,0.0457115
50,11.2498,361.2,0,11.2528,361.375,0.0901991,0.656296,7.32065,0.00135772,7.32081,1,0.0471234
51,11.4748,361.2,0,11.4778,361.382,0.0912088,0.669154,7.31039,0.00140645,7.31056,1,0.0485353
52,11.6998,361.2,0,11.7028,361.39,0.0922185,0.682012,7.30013,0.00145517,7.3003,1,0.0499472
53,11.9248,361.2,0,11.9278,361.397,0.0932282,0.69487,7.28986,0.00150389,7.29005,1,0.0513591
54,12.1498,361.2,0,12.1528,361.404,0.0942379,0.707729,7.2796,0.00155261,7.2798,1,0.052771
55,12.3748,361.2,0,12.3778,361.412,0.0952472,0.720589,7.26934,0.0016015,7.26955,1,0.0541873
56,12.5998,361.2,0,12.6028,361.42,0.0962559,0.733454,7.25908,0.00165079,7.2593,1,0.0556144
57,12.8248,361.2,0,12.8278,361.428,0.0972645,0.74632,7.24882,0.00170008,7.24905,1,0.0570415
58,13.0498,361.2,0,13.0528,361.436,0.0982731,0.759185,7.23856,0.00174937,7.2388,1,0.0584685
59,13.2748,361.2,0,13.2778,361.444,0.100655,0.788841,7.20245,0.00187123,7.2027,1,0.0597014
60,13.4998,361.2,0,13.5028,361.452,0.103313,0.821859,7.16116,0.00200763,7.16142,1,0.0608953
61,13.7248,361.2,0,13.7278,361.461,0.10597,0.854878,7.11987,0.00214402,7.12015,1,0.0620893
62,13.9498,361.2,0,13.9528,361.469,0.108627,0.887896,7.07858,0.00228042,7.07887,1,0.0632832
63,14.1748,361.2,0,14.1778,361.478,0.111285,0.920914,7.03729,0.00241681,7.03759,1,0.0644772
64,14.3998,361.2,0,14.4028,361.487,0.113942,0.953933,6.99601,0.0025532,6.99632,1,0.0656711
65,14.6248,361.2,0,14.6278,361.496,0.1166,0.986951,6.95472,0.0026896,6.95504,1,0.0668651
66,14.8498,361.2,0,14.8528,361.505,0.119269,1.02017,6.91325,0.00282742,6.91359,1,0.0680744
67,15.0748,361.2,0,15.0778,361.515,0.121945,1.05348,6.87171,0.00296589,6.87206,1,0.0692908
68,15.2998,361.2,0,15.3028,361.524,0.125256,1.09754,6.82786,0.00309784,6.82823,1,0.0704629
69,15.5248,361.2,0,15.5278,361.534,0.129172,1.15182,6.78182,0.00322357,6.7822,1,0.0715927
70,15.7498,361.2,0,15.7528,361.543,0.133088,1.20611,6.73578,0.00334931,6.73617,1,0.0727226
71,15.9748,361.2,0,15.9778,361.553,0.137018,1.26062,6.68962,0.00347554,6.69003,1,0.0738606
72,16.1998,361.2,0,16.2028,361.563,0.140602,1.30969,6.64574,0.0035823,6.64616,1,0.0750624
73,16.4248,361.2,0,16.4278,361.573,0.143481,1.34752,6.60663,0.00365012,6.60708,1,0.0763525
74,16.6498,361.2,0,16.6528,361.584,0.14636,1.38536,6.56753,0.00371795,6.56799,1,0.0776426
75,16.8748,361.2,0,16.8778,361.594,0.149239,1.42319,6.52842,0.00378578,6.5289,1,0.0789326
76,17.0998,361.2,0,17.1028,361.605,0.152118,1.46103,6.48932,0.00385361,6.48981,1,0.0802227
77,17.3248,361.2,0,17.3278,361.615,0.155004,1.49896,6.45011,0.00392149,6.45063,1,0.0815214
78,17.5498,361.2,0,17.5528,361.626,0.157912,1.53722,6.4106,0.00398951,6.41113,1,0.0828485
79,17.7748,361.2,0,17.7778,361.637,0.16036,1.56717,6.37459,0.00403783,6.37514,1,0.0837951
80,17.9998,361.2,0,18.0028,361.648,0.162592,1.5932,6.34023,0.00407682,6.34079,1,0.0845618
81,18.2248,361.2,0,18.2278,361.66,0.164823,1.61924,6.30587,0.00411582,6.30645,1,0.0853284
82,18.4498,361.2,0,18.4528,361.671,0.167055,1.64527,6.27151,0.00415481,6.27211,1,0.0860951
83,18.6748,361.2,0,18.6778,361.683,0.169286,1.6713,6.23716,0.00419381,6.23776,1,0.0868617
84,18.8997,361.2,0,18.9027,361.694,0.171533,1.69748,6.20252,0.00423299,6.20314,1,0.0876395
85,19.1247,361.2,0,19.1277,361.706,0.173784,1.72362,6.1677,0.00427233,6.16833,1,0.0884215
86,19.3497,361.2,0,19.3527,361.718,0.175457,1.73798,6.13567,0.00431373,6.13632,1,0.0888607
87,19.5747,361.2,0,19.5777,361.73,0.17713,1.75234,6.10365,0.00435512,6.1043,1,0.0892999
88,19.7997,361.2,0,19.8027,361.742,0.178803,1.7667,6.07162,0.00439651,6.07228,1,0.089739
89,20.0247,361.2,0,20.0277,361.755,0.180476,1.78105,6.03959,0.0044379,6.04027,1,0.0901782
