Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,180.6,-255.425,35,314.775,nan,nan,nan,nan,nan,0,nan
1,0.510849,180.6,-254.914,35,314.361,0.0928169,1.06886,9.09471,-0.000462386,9.09471,1,0.0025675
2,1.0217,180.6,-254.403,35,313.947,0.0928169,1.06886,9.09471,-0.00071894,9.09471,1,0.00256804
3,1.53255,180.6,-253.892,35,313.533,0.0928168,1.06886,9.09472,-0.000977014,9.09472,1,0.00257008
4,2.0434,180.6,-253.382,35,313.119,0.0928167,1.06886,9.09472,-0.00123642,9.09472,1,0.00257277
5,2.55424,180.6,-252.871,35,312.706,0.0928167,1.06886,9.09473,-0.00149289,9.09473,1,0.00257542
6,3.06509,180.6,-252.36,35,312.293,0.0928166,1.06886,9.09474,-0.00174572,9.09474,1,0.00257974
7,3.57594,180.6,-251.849,35,311.88,0.0928165,1.06886,9.09475,-0.00199759,9.09475,1,0.00258458
8,4.08681,180.6,-251.338,35,311.468,0.0928164,1.06886,9.09475,-0.00224638,9.09476,1,0.00258936
9,4.59766,180.6,-250.827,35,311.056,0.0928162,1.06886,9.09477,-0.00250232,9.09477,1,0.00259583
10,5.10851,180.6,-250.316,35,310.644,0.0928161,1.06886,9.09478,-0.00275982,9.09478,1,0.00260265
11,5.61935,180.6,-249.806,35,310.233,0.092816,1.06886,9.09479,-0.00301394,9.09479,1,0.0026094
12,6.1302,180.6,-249.295,35,309.821,0.0928158,1.06886,9.09481,-0.00326971,9.09481,1,0.00261797
13,6.64105,180.6,-248.784,35,309.41,0.0928156,1.06886,9.09483,-0.0035256,9.09483,1,0.00262676
14,7.1519,180.6,-248.273,35,309,0.0928154,1.06886,9.09484,-0.00377809,9.09484,1,0.00263545
15,7.66275,180.6,-247.762,35,308.59,0.0928152,1.06886,9.09486,-0.00403517,9.09486,1,0.00264615
16,8.1736,180.6,-247.251,35,308.18,0.092815,1.06886,9.09488,-0.00429213,9.09488,1,0.00265693
17,8.68445,180.6,-246.741,35,307.77,0.0928148,1.06886,9.0949,-0.00454595,9.0949,1,0.00266762
18,9.1953,180.6,-246.23,35,307.36,0.0928145,1.06886,9.09493,-0.00480349,9.09493,1,0.00268041
19,9.70615,180.6,-245.719,35,306.951,0.0928142,1.06886,9.09495,-0.00506045,9.09495,1,0.00269317
20,10.217,180.6,-245.208,35,306.543,0.092814,1.06886,9.09497,-0.00531478,9.09498,1,0.00270597
21,10.7278,180.6,-244.697,35,306.134,0.0928137,1.06886,9.095,-0.00557313,9.095,1,0.00272076
22,11.2387,180.6,-244.186,35,305.726,0.0928134,1.06886,9.09503,-0.00583068,9.09503,1,0.00273552
23,11.7496,180.6,-243.675,35,305.318,0.0928131,1.06886,9.09506,-0.00608605,9.09506,1,0.00275045
