Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,90.3,-105.35,0.003,138.754,0.845759,0.605059,0.750942,-0.000673004,0.750942,1,-2.58135e-07
1,0.224997,90.3,-105.35,0.227997,138.754,0.147563,0.609447,4.32324,-0.00402945,4.32324,1,0.000266444
2,0.449994,90.3,-105.35,0.452994,138.755,0.130855,0.611302,4.88144,-0.00463699,4.88144,1,0.000602146
3,0.674991,90.3,-105.35,0.677991,138.756,0.122597,0.612993,5.21444,-0.00501698,5.21444,1,0.000957273
4,0.899988,90.3,-105.35,0.902988,138.757,0.117633,0.614397,5.44122,-0.00527961,5.44122,1,0.00131547
5,1.12498,90.3,-105.35,1.12799,138.759,0.114272,0.615995,5.61004,-0.00547183,5.61005,1,0.00166238
6,1.34998,90.3,-105.35,1.35298,138.761,0.111634,0.617961,5.75118,-0.00562778,5.75118,1,0.00199404
7,1.57498,90.3,-105.35,1.57798,138.763,0.109565,0.620268,5.87041,-0.00575486,5.87041,1,0.00231312
8,1.79998,90.3,-105.35,1.80298,138.766,0.108012,0.623142,5.96838,-0.00585123,5.96838,1,0.00260846
9,2.02497,90.3,-105.35,2.02797,138.769,0.106777,0.626401,6.05348,-0.00592911,6.05348,1,0.00288921
10,2.24997,90.3,-105.35,2.25297,138.772,0.105584,0.62971,6.13668,-0.00600411,6.13669,1,0.00316732
11,2.47497,90.3,-105.35,2.47797,138.776,0.104901,0.633667,6.1968,-0.00604396,6.19681,1,0.00341159
12,2.69996,90.3,-105.35,2.70296,138.78,0.104222,0.637667,6.25693,-0.00608369,6.25693,1,0.00365415
13,2.92496,90.3,-105.35,2.92796,138.785,0.103543,0.641667,6.31705,-0.00612342,6.31705,1,0.00389671
14,3.14996,90.3,-105.35,3.15296,138.79,0.103081,0.645721,6.36528,-0.00614507,6.36528,1,0.00416296
15,3.37495,90.3,-105.35,3.37795,138.795,0.102736,0.649879,6.40743,-0.00615701,6.40743,1,0.00443644
16,3.59995,90.3,-105.35,3.60295,138.801,0.102392,0.654046,6.44958,-0.00616891,6.44959,1,0.00470935
17,3.82495,90.3,-105.35,3.82795,138.807,0.102047,0.658214,6.49174,-0.0061808,6.49174,1,0.00498226
18,4.04995,90.3,-105.35,4.05295,138.813,0.101717,0.662342,6.53285,-0.00619122,6.53286,1,0.00525716
19,4.27494,90.3,-105.35,4.27794,138.82,0.101551,0.666025,6.56183,-0.00618438,6.56183,1,0.00555501
20,4.49994,90.3,-105.35,4.50294,138.827,0.101388,0.66977,6.59091,-0.00617701,6.59091,1,0.00584933
21,4.72494,90.3,-105.35,4.72794,138.835,0.101224,0.673515,6.61998,-0.00616965,6.61999,1,0.00614365
22,4.94993,90.3,-105.35,4.95293,138.843,0.101061,0.677261,6.64906,-0.00616228,6.64907,1,0.00643798
23,5.17493,90.3,-105.35,5.17793,138.851,0.100898,0.681006,6.67814,-0.00615492,6.67814,1,0.0067323
24,5.39993,90.3,-105.35,5.40293,138.859,0.100735,0.684751,6.70721,-0.00614756,6.70722,1,0.00702662
25,5.62493,90.3,-105.35,5.62792,138.868,0.100677,0.687926,6.72658,-0.00613013,6.72659,1,0.00765018
26,5.84992,90.3,-105.35,5.85292,138.878,0.100626,0.691081,6.74536,-0.00611174,6.74536,1,0.00829571
27,6.07492,90.3,-105.35,6.07792,138.887,0.100575,0.694253,6.76418,-0.00609312,6.76419,1,0.0089408
28,6.29992,90.3,-105.35,6.30292,138.897,0.100525,0.697425,6.78301,-0.00607451,6.78302,1,0.00958589
29,6.52491,90.3,-105.35,6.52791,138.908,0.100474,0.700596,6.80184,-0.00605589,6.80185,1,0.010231
30,6.74991,90.3,-105.35,6.75291,138.918,0.100424,0.703768,6.82066,-0.00603728,6.82068,1,0.0108761
31,6.97491,90.3,-105.35,6.97791,138.929,0.100373,0.70694,6.83949,-0.00601866,6.8395,1,0.0115212
32,7.1999,90.3,-105.35,7.2029,138.941,0.100322,0.710111,6.85832,-0.00600004,6.85833,1,0.0121662
33,7.4249,90.3,-105.35,7.4279,138.953,0.100381,0.71353,6.87061,-0.00597617,6.87063,1,0.0127459
34,7.6499,90.3,-105.35,7.6529,138.965,0.100487,0.717056,6.88008,-0.00595001,6.88009,1,0.0132973
35,7.8749,90.3,-105.35,7.87789,138.978,0.100591,0.720583,6.88963,-0.00592323,6.88965,1,0.0138528
36,8.09989,90.3,-105.35,8.10289,138.991,0.100695,0.72411,6.8992,-0.00589634,6.89922,1,0.0144092
37,8.32489,90.3,-105.35,8.32789,139.004,0.100799,0.727637,6.90877,-0.00586946,6.90879,1,0.0149655
38,8.54989,90.3,-105.35,8.55289,139.018,0.100903,0.731163,6.91835,-0.00584258,6.91837,1,0.0155218
39,8.77488,90.3,-105.35,8.77788,139.032,0.101007,0.73469,6.92792,-0.0058157,6.92794,1,0.0160781
40,8.99988,90.3,-105.35,9.00288,139.046,0.10111,0.738217,6.93749,-0.00578881,6.93751,1,0.0166344
41,9.22488,90.3,-105.35,9.22788,139.061,0.101214,0.741744,6.94706,-0.00576193,6.94708,1,0.0171907
42,9.44987,90.3,-105.35,9.45287,139.076,0.101318,0.745271,6.95663,-0.00573505,6.95665,1,0.0177471
43,9.67487,90.3,-105.35,9.67787,139.091,0.101422,0.748798,6.9662,-0.00570817,6.96623,1,0.0183034
44,9.89987,90.3,-105.35,9.90287,139.107,0.101829,0.755424,6.96834,-0.00568449,6.96837,1,0.0194521
45,10.1249,90.3,-105.35,10.1279,139.123,0.102399,0.763724,6.96647,-0.00566255,6.96651,1,0.0209207
46,10.3499,90.3,-105.35,10.3529,139.14,0.102969,0.772021,6.96461,-0.00564055,6.96465,1,0.0223919
47,10.5749,90.3,-105.35,10.5779,139.157,0.103537,0.78031,6.96281,-0.00561831,6.96286,1,0.023875
48,10.7999,90.3,-105.35,10.8029,139.174,0.104104,0.788598,6.96102,-0.00559607,6.96107,1,0.0253581
49,11.0249,90.3,-105.35,11.0279,139.192,0.104671,0.796887,6.95922,-0.00557383,6.95928,1,0.0268413
50,11.2498,90.3,-105.35,11.2528,139.21,0.105239,0.805175,6.95742,-0.0055516,6.95749,1,0.0283244
51,11.4748,90.3,-105.35,11.4778,139.228,0.105806,0.813463,6.95563,-0.00552936,6.9557,1,0.0298075
52,11.6998,90.3,-105.35,11.7028,139.247,0.106374,0.821752,6.95383,-0.00550712,6.95391,1,0.0312907
53,11.9248,90.3,-105.35,11.9278,139.266,0.106941,0.83004,6.95203,-0.00548488,6.95212,1,0.0327738
54,12.1498,90.3,-105.35,12.1528,139.285,0.107508,0.838329,6.95024,-0.00546264,6.95033,1,0.0342569
55,12.3748,90.3,-105.35,12.3778,139.305,0.108076,0.846617,6.94844,-0.0054404,6.94854,1,0.03574
56,12.5998,90.3,-105.35,12.6028,139.325,0.108643,0.854906,6.94664,-0.00541816,6.94675,1,0.0372232
57,12.8248,90.3,-105.35,12.8278,139.346,0.10921,0.863194,6.94485,-0.00539592,6.94496,1,0.0387063
58,13.0498,90.3,-105.35,13.0528,139.367,0.109778,0.871483,6.94305,-0.00537368,6.94317,1,0.0401894
59,13.2748,90.3,-105.35,13.2778,139.388,0.111672,0.894911,6.9163,-0.0053084,6.91642,1,0.0413978
60,13.4998,90.3,-105.35,13.5028,139.41,0.113836,0.921453,6.88448,-0.00523424,6.88462,1,0.0425568
61,13.7248,90.3,-105.35,13.7278,139.432,0.116012,0.948203,6.85251,-0.00515946,6.85265,1,0.0437303
62,13.9498,90.3,-105.35,13.9528,139.454,0.118189,0.974952,6.82053,-0.00508469,6.82069,1,0.0449038
63,14.1748,90.3,-105.35,14.1778,139.477,0.120365,1.0017,6.78856,-0.00500991,6.78872,1,0.0460772
64,14.3998,90.3,-105.35,14.4028,139.5,0.122542,1.02845,6.75659,-0.00493513,6.75676,1,0.0472507
65,14.6248,90.3,-105.35,14.6278,139.523,0.124719,1.0552,6.72461,-0.00486035,6.72479,1,0.0484242
66,14.8498,90.3,-105.35,14.8528,139.547,0.126895,1.08195,6.69264,-0.00478557,6.69283,1,0.0495977
67,15.0748,90.3,-105.35,15.0778,139.571,0.129072,1.1087,6.66067,-0.00471079,6.66086,1,0.0507711
68,15.2998,90.3,-105.35,15.3028,139.595,0.131771,1.1433,6.62512,-0.00463287,6.62533,1,0.0519612
69,15.5248,90.3,-105.35,15.5278,139.62,0.135001,1.18592,6.58587,-0.00455125,6.58609,1,0.053188
70,15.7498,90.3,-105.35,15.7528,139.645,0.138237,1.22865,6.54655,-0.00446948,6.54678,1,0.0544195
71,15.9748,90.3,-105.35,15.9778,139.671,0.141473,1.27139,6.50723,-0.0043877,6.50747,1,0.055651
72,16.1998,90.3,-105.35,16.2028,139.697,0.144504,1.3104,6.46844,-0.00431738,6.46869,1,0.0568871
73,16.4248,90.3,-105.35,16.4278,139.723,0.147153,1.34249,6.43056,-0.00426872,6.43083,1,0.0581394
74,16.6498,90.3,-105.35,16.6528,139.75,0.149828,1.37493,6.39234,-0.00422001,6.39262,1,0.0594166
75,16.8748,90.3,-105.35,16.8778,139.777,0.152502,1.40736,6.35413,-0.00417131,6.35442,1,0.0606938
76,17.0998,90.3,-105.35,17.1028,139.804,0.155176,1.4398,6.31591,-0.0041226,6.31622,1,0.061971
77,17.3248,90.3,-105.35,17.3278,139.832,0.15785,1.47224,6.27769,-0.00407389,6.27802,1,0.0632482
78,17.5498,90.3,-105.35,17.5528,139.86,0.160524,1.50467,6.23948,-0.00402519,6.23981,1,0.0645254
79,17.7748,90.3,-105.35,17.7778,139.888,0.162784,1.52875,6.20268,-0.00398551,6.20303,1,0.065412
80,17.9998,90.3,-105.35,18.0028,139.917,0.164864,1.54899,6.16626,-0.00395011,6.16662,1,0.066122
81,18.2248,90.3,-105.35,18.2278,139.946,0.166956,1.56933,6.12962,-0.0039147,6.12998,1,0.066838
82,18.4498,90.3,-105.35,18.4528,139.976,0.169047,1.58968,6.09297,-0.00387929,6.09334,1,0.0675541
83,18.6748,90.3,-105.35,18.6778,140.006,0.171139,1.61002,6.05632,-0.00384389,6.0567,1,0.0682701
84,18.8997,90.3,-105.35,18.9027,140.036,0.17323,1.63036,6.01967,-0.00380848,6.02007,1,0.0689861
85,19.1247,90.3,-105.35,19.1277,140.066,0.175314,1.65053,5.98304,-0.00377311,5.98344,1,0.0696974
86,19.3497,90.3,-105.35,19.3527,140.097,0.176737,1.65691,5.94773,-0.00374082,5.94814,1,0.0700232
87,19.5747,90.3,-105.35,19.5777,140.129,0.178173,1.66313,5.9119,-0.0037083,5.91232,1,0.0703482
88,19.7997,90.3,-105.35,19.8027,140.16,0.179609,1.66934,5.87602,-0.00367576,5.87645,1,0.0706731
89,20.0247,90.3,-105.35,20.0277,140.192,0.181046,1.67555,5.84013,-0.00364322,5.84057,1,0.070998
90,20.2497,90.3,-105.35,20.2527,140.224,0.182483,1.68176,5.80425,-0.00361068,5.80469,1,0.0713229
