Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,451.5,105.35,0.003,463.628,0.844769,0.492994,0.678637,-0.00012634,0.678637,1,-2.69319e-07
1,0.224997,451.5,105.35,0.227997,463.628,0.145489,0.485206,3.91273,-0.000692461,3.91273,1,0.000284912
2,0.449994,451.5,105.35,0.452994,463.628,0.127442,0.475965,4.4231,-0.000748411,4.4231,1,0.000657262
3,0.674991,451.5,105.35,0.677991,463.628,0.117967,0.467052,4.73027,-0.000765733,4.73027,1,0.00106252
4,0.899988,451.5,105.35,0.902988,463.629,0.111829,0.458026,4.94204,-0.000765231,4.94204,1,0.00149154
5,1.12498,451.5,105.35,1.12799,463.629,0.107293,0.448992,5.10201,-0.000755583,5.10201,1,0.0019378
6,1.34998,451.5,105.35,1.35298,463.63,0.103473,0.440083,5.23714,-0.000742051,5.23714,1,0.0023932
7,1.57498,451.5,105.35,1.57798,463.631,0.100215,0.431289,5.35263,-0.000725542,5.35263,1,0.00285583
8,1.79998,451.5,105.35,1.80298,463.631,0.0974911,0.422905,5.44859,-0.000706949,5.44859,1,0.00332772
9,2.02497,451.5,105.35,2.02797,463.632,0.0950902,0.414768,5.53274,-0.000687149,5.53274,1,0.00380506
10,2.24997,451.5,105.35,2.25297,463.633,0.092741,0.406728,5.61503,-0.000667282,5.61503,1,0.00428227
11,2.47497,451.5,105.35,2.47797,463.635,0.0910185,0.399853,5.67481,-0.000647098,5.67481,1,0.00475647
12,2.69996,451.5,105.35,2.70296,463.636,0.0892961,0.392978,5.73459,-0.000626915,5.73459,1,0.00523066
13,2.92496,451.5,105.35,2.92796,463.637,0.0875736,0.386102,5.79437,-0.000606731,5.79437,1,0.00570486
14,3.14996,451.5,105.35,3.15296,463.639,0.0862437,0.380559,5.84139,-0.000588174,5.8414,1,0.00619267
15,3.37495,451.5,105.35,3.37795,463.64,0.0851155,0.3757,5.88185,-0.00057052,5.88185,1,0.00668722
16,3.59995,451.5,105.35,3.60295,463.642,0.0839873,0.370841,5.9223,-0.000552865,5.9223,1,0.00718176
17,3.82495,451.5,105.35,3.82795,463.644,0.0828592,0.365983,5.96275,-0.000535211,5.96276,1,0.00767631
18,4.04995,451.5,105.35,4.05295,463.646,0.081776,0.361345,6.00198,-0.000517939,6.00198,1,0.00816623
19,4.27494,451.5,105.35,4.27794,463.648,0.0812115,0.359256,6.02694,-0.000505639,6.02695,1,0.00859991
20,4.49994,451.5,105.35,4.50294,463.65,0.080647,0.357168,6.0519,-0.000493339,6.05191,1,0.00903358
21,4.72494,451.5,105.35,4.72794,463.652,0.0800824,0.355079,6.07687,-0.000481039,6.07687,1,0.00946725
22,4.94993,451.5,105.35,4.95293,463.654,0.0795179,0.35299,6.10183,-0.000468739,6.10184,1,0.00990092
23,5.17493,451.5,105.35,5.17793,463.657,0.0789534,0.350901,6.12679,-0.00045644,6.1268,1,0.0103346
24,5.39993,451.5,105.35,5.40293,463.659,0.0783892,0.348815,6.15175,-0.000444116,6.15176,1,0.0107685
25,5.62493,451.5,105.35,5.62792,463.662,0.0783249,0.349778,6.16522,-0.000438674,6.16523,1,0.0112659
26,5.84992,451.5,105.35,5.85292,463.665,0.0782947,0.35095,6.1779,-0.000433713,6.17791,1,0.0117674
27,6.07492,451.5,105.35,6.07792,463.668,0.0782644,0.352121,6.19058,-0.000428751,6.19059,1,0.012269
28,6.29992,451.5,105.35,6.30292,463.671,0.0782342,0.353293,6.20326,-0.00042379,6.20328,1,0.0127706
29,6.52491,451.5,105.35,6.52791,463.674,0.078204,0.354465,6.21594,-0.000418829,6.21596,1,0.0132722
30,6.74991,451.5,105.35,6.75291,463.677,0.0781737,0.355636,6.22863,-0.000413868,6.22864,1,0.0137738
31,6.97491,451.5,105.35,6.97791,463.68,0.0781435,0.356808,6.24131,-0.000408907,6.24132,1,0.0142754
32,7.1999,451.5,105.35,7.2029,463.684,0.0781133,0.357979,6.25399,-0.000403946,6.25401,1,0.014777
33,7.4249,451.5,105.35,7.4279,463.687,0.0784212,0.361617,6.25998,-0.000405421,6.26,1,0.0151546
34,7.6499,451.5,105.35,7.6529,463.691,0.078875,0.366318,6.26308,-0.000409722,6.2631,1,0.0154777
35,7.8749,451.5,105.35,7.87789,463.695,0.0793288,0.37102,6.26619,-0.000414023,6.26621,1,0.0158009
36,8.09989,451.5,105.35,8.10289,463.699,0.0797826,0.375721,6.26929,-0.000418323,6.26932,1,0.016124
37,8.32489,451.5,105.35,8.32789,463.703,0.0802364,0.380423,6.2724,-0.000422624,6.27242,1,0.0164471
38,8.54989,451.5,105.35,8.55289,463.707,0.0806902,0.385124,6.2755,-0.000426924,6.27553,1,0.0167702
39,8.77488,451.5,105.35,8.77788,463.711,0.081144,0.389825,6.27861,-0.000431225,6.27863,1,0.0170934
40,8.99988,451.5,105.35,9.00288,463.715,0.0815978,0.394527,6.28171,-0.000435526,6.28174,1,0.0174165
41,9.22488,451.5,105.35,9.22788,463.72,0.0820516,0.399228,6.28482,-0.000439826,6.28484,1,0.0177396
42,9.44987,451.5,105.35,9.45287,463.724,0.0825054,0.403929,6.28792,-0.000444127,6.28795,1,0.0180628
43,9.67487,451.5,105.35,9.67787,463.729,0.0829592,0.408631,6.29103,-0.000448428,6.29106,1,0.0183859
44,9.89987,451.5,105.35,9.90287,463.734,0.0836811,0.415786,6.28934,-0.000456648,6.28937,1,0.0187696
45,10.1249,451.5,105.35,10.1279,463.739,0.0845464,0.424254,6.2851,-0.000466966,6.28513,1,0.019185
46,10.3499,451.5,105.35,10.3529,463.744,0.0854117,0.432721,6.28085,-0.000477284,6.28088,1,0.0196004
47,10.5749,451.5,105.35,10.5779,463.749,0.086277,0.441189,6.27661,-0.000487601,6.27664,1,0.0200158
48,10.7999,451.5,105.35,10.8029,463.754,0.0871424,0.449657,6.27236,-0.000497919,6.2724,1,0.0204312
49,11.0249,451.5,105.35,11.0279,463.759,0.0880077,0.458124,6.26812,-0.000508237,6.26816,1,0.0208466
50,11.2498,451.5,105.35,11.2528,463.764,0.088873,0.466592,6.26388,-0.000518555,6.26391,1,0.0212619
51,11.4748,451.5,105.35,11.4778,463.77,0.0897383,0.475059,6.25963,-0.000528873,6.25967,1,0.0216773
52,11.6998,451.5,105.35,11.7028,463.776,0.0906037,0.483527,6.25539,-0.00053919,6.25543,1,0.0220927
53,11.9248,451.5,105.35,11.9278,463.781,0.091469,0.491995,6.25114,-0.000549508,6.25118,1,0.0225081
54,12.1498,451.5,105.35,12.1528,463.787,0.0923343,0.500462,6.2469,-0.000559826,6.24694,1,0.0229235
55,12.3748,451.5,105.35,12.3778,463.793,0.0931996,0.50893,6.24265,-0.000570144,6.2427,1,0.0233388
