Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,0,105.35,0.003,105.35,nan,nan,nan,nan,nan,0,nan
1,0.224997,0,105.35,0.227997,105.35,0.141982,0.398551,3.6333,0.0353784,3.63347,1,3.66637e-05
2,0.449994,0,105.35,0.452994,105.351,0.126228,0.399951,4.09282,0.0388114,4.093,1,7.09061e-05
3,0.674991,0,105.35,0.677991,105.352,0.118827,0.403485,4.36457,0.0403759,4.36476,1,9.40015e-05
4,0.899988,0,105.35,0.902988,105.354,0.114707,0.408347,4.54883,0.0411167,4.54901,1,0.000104563
5,1.12498,0,105.35,1.12799,105.356,0.112133,0.414041,4.68647,0.0414598,4.68665,1,0.000102401
6,1.34998,0,105.35,1.35298,105.359,0.110212,0.4201,4.8024,0.0416391,4.80258,1,9.24866e-05
7,1.57498,0,105.35,1.57798,105.362,0.108797,0.426438,4.90124,0.0416931,4.90142,1,7.64012e-05
8,1.79998,0,105.35,1.80298,105.365,0.107796,0.43292,4.98402,0.0416527,4.98419,1,5.50729e-05
9,2.02497,0,105.35,2.02797,105.37,0.107043,0.43948,5.05707,0.0415563,5.05724,1,3.08439e-05
10,2.24997,0,105.35,2.25297,105.374,0.10632,0.44603,5.12873,0.0414541,5.12889,1,6.43771e-06
11,2.47497,0,105.35,2.47797,105.379,0.105952,0.452409,5.18331,0.0412856,5.18348,1,-1.84171e-05
12,2.69996,0,105.35,2.70296,105.385,0.105585,0.458786,5.2379,0.0411173,5.23806,1,-4.32044e-05
13,2.92496,0,105.35,2.92796,105.391,0.105218,0.465163,5.29248,0.040949,5.29264,1,-6.79918e-05
14,3.14996,0,105.35,3.15296,105.397,0.104984,0.471181,5.33833,0.0407666,5.33848,1,-8.74785e-05
15,3.37495,0,105.35,3.37795,105.404,0.104818,0.477005,5.37966,0.0405774,5.37982,1,-0.000104005
16,3.59995,0,105.35,3.60295,105.412,0.104652,0.48283,5.421,0.0403883,5.42115,1,-0.000120532
17,3.82495,0,105.35,3.82795,105.42,0.104486,0.488655,5.46234,0.0401992,5.46248,1,-0.000137059
18,4.04995,0,105.35,4.05295,105.428,0.104326,0.494416,5.50291,0.0400108,5.50305,1,-0.000152383
19,4.27494,0,105.35,4.27794,105.437,0.104249,0.499419,5.53457,0.0398315,5.53472,1,-0.000152728
20,4.49994,0,105.35,4.50294,105.446,0.104171,0.50442,5.56624,0.0396524,5.56638,1,-0.000152931
