Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,Result,tke,u,v,v_mag,vtkValidPointMask,w
0,0,180.6,-255.425,35,314.775,nan,nan,nan,nan,nan,0,nan
1,0.510849,180.6,-254.914,35,314.361,0.0928181,0.646604,7.07361,-0.000359647,7.07361,1,0.00197902
2,1.0217,180.6,-254.403,35,313.947,0.0928181,0.646604,7.07361,-0.000559195,7.07361,1,0.00197944
3,1.53255,180.6,-253.892,35,313.533,0.092818,0.646604,7.07361,-0.000759927,7.07361,1,0.00198103
4,2.0434,180.6,-253.382,35,313.119,0.092818,0.646604,7.07361,-0.000961696,7.07362,1,0.00198311
5,2.55424,180.6,-252.871,35,312.706,0.0928179,0.646604,7.07362,-0.00116118,7.07362,1,0.00198518
6,3.06509,180.6,-252.36,35,312.293,0.0928178,0.646603,7.07363,-0.00135783,7.07363,1,0.00198854
7,3.57594,180.6,-251.849,35,311.88,0.0928177,0.646603,7.07363,-0.00155373,7.07363,1,0.0019923
8,4.08681,180.6,-251.338,35,311.468,0.0928176,0.646603,7.07364,-0.00174725,7.07364,1,0.00199602
9,4.59766,180.6,-250.827,35,311.056,0.0928175,0.646603,7.07365,-0.00194632,7.07365,1,0.00200105
10,5.10851,180.6,-250.316,35,310.644,0.0928173,0.646603,7.07366,-0.00214661,7.07366,1,0.00200636
11,5.61935,180.6,-249.806,35,310.233,0.0928172,0.646603,7.07367,-0.00234426,7.07367,1,0.0020116
12,6.1302,180.6,-249.295,35,309.821,0.092817,0.646603,7.07368,-0.0025432,7.07368,1,0.00201827
13,6.64105,180.6,-248.784,35,309.41,0.0928168,0.646603,7.0737,-0.00274223,7.0737,1,0.00202511
14,7.1519,180.6,-248.273,35,309,0.0928166,0.646603,7.07371,-0.00293862,7.07371,1,0.00203187
15,7.66275,180.6,-247.762,35,308.59,0.0928164,0.646602,7.07372,-0.00313858,7.07373,1,0.00204019
16,8.1736,180.6,-247.251,35,308.18,0.0928162,0.646602,7.07374,-0.00333844,7.07374,1,0.00204857
17,8.68445,180.6,-246.741,35,307.77,0.092816,0.646602,7.07376,-0.00353586,7.07376,1,0.00205689
18,9.1953,180.6,-246.23,35,307.36,0.0928157,0.646602,7.07377,-0.00373618,7.07378,1,0.00206683
19,9.70615,180.6,-245.719,35,306.951,0.0928155,0.646602,7.07379,-0.00393605,7.07379,1,0.00207676
